iteracion,frequency,Source,Target
1,198,38,53
1,196,114,117
1,145,142,119
1,174,123,137
1,177,62,128
1,180,96,109
1,5,86,88
1,191,141,42
1,28,83,86
1,1,63,84
1,197,64,126
1,14,82,65
1,199,119,142
1,199,140,121
1,73,65,82
1,183,80,67
1,190,120,70
1,191,135,125
1,11,70,120
1,136,71,74
1,194,69,77
1,200,124,66
1,121,67,80
1,197,126,64
1,181,98,107
1,192,122,68
1,195,67,79
1,107,129,132
1,194,121,140
1,200,77,69
1,191,66,124
1,16,133,127
1,170,75,71
1,199,55,36
1,13,56,58
1,164,104,56
1,198,108,52
1,195,143,44
1,191,48,113
1,193,52,108
1,194,107,98
1,190,105,100
1,178,109,96
1,192,53,38
1,199,106,54
1,163,50,110
1,167,145,46
1,176,44,145
1,193,54,106
1,180,113,47
1,175,40,141
1,138,100,103
1,185,42,143
2,200,124,66
2,176,94,111
2,191,48,113
2,107,129,132
2,10,102,104
2,175,40,141
2,197,126,64
2,112,115,118
2,189,125,135
2,176,44,145
2,195,143,44
2,73,65,82
2,191,135,125
2,199,55,36
2,145,142,119
2,193,54,106
2,177,62,128
2,167,145,46
2,191,141,42
2,16,133,127
2,192,53,38
2,154,45,48
2,197,64,126
2,199,140,121
2,193,52,108
2,195,68,122
2,163,50,110
2,185,36,55
2,194,69,77
2,195,67,79
2,14,82,65
2,196,114,117
2,181,98,107
2,200,77,69
2,199,119,142
2,190,105,100
2,194,121,140
2,198,108,52
2,138,100,103
2,190,120,70
2,180,96,109
2,170,75,71
2,199,106,54
2,198,38,53
2,178,109,96
2,28,83,86
2,164,104,56
2,174,123,137
2,194,107,98
2,192,122,68
2,136,71,74
3,177,62,128
3,174,123,137
3,28,83,86
3,191,141,42
3,196,114,117
3,191,48,113
3,176,94,111
3,145,142,119
3,180,96,109
3,175,40,141
3,181,98,107
3,190,105,100
3,193,54,106
3,138,100,103
3,163,50,110
3,195,68,122
3,192,53,38
3,178,109,96
3,185,36,55
3,198,108,52
3,164,104,56
3,154,45,48
3,199,55,36
3,195,143,44
3,197,64,126
3,189,125,135
3,107,129,132
3,194,121,140
3,170,75,71
3,195,67,79
3,185,42,143
3,198,38,53
3,14,82,65
3,197,126,64
3,121,67,80
3,2,35,138
3,200,124,66
3,1,45,47
3,136,71,74
3,194,69,77
3,192,122,68
3,191,66,124
3,193,52,108
3,16,133,127
3,199,106,54
3,190,120,70
3,191,135,125
3,176,44,145
3,194,107,98
3,199,140,121
3,200,77,69
3,73,65,82
3,183,80,67
3,112,115,118
3,199,119,142
4,199,106,54
4,198,108,52
4,194,107,98
4,191,48,113
4,195,68,122
4,163,50,110
4,176,44,145
4,189,125,135
4,190,105,100
4,164,104,56
4,174,123,137
4,154,45,48
4,194,69,77
4,192,122,68
4,200,124,66
4,197,126,64
4,195,67,79
4,194,121,140
4,107,129,132
4,200,77,69
4,16,133,127
4,190,120,70
4,191,135,125
4,73,65,82
4,199,119,142
4,193,52,108
4,199,140,121
4,191,141,42
4,177,62,128
4,180,96,109
4,196,114,117
4,199,55,36
4,180,113,47
4,195,143,44
4,193,54,106
4,138,100,103
4,178,109,96
4,167,145,46
4,192,53,38
4,185,36,55
4,197,64,126
4,145,142,119
4,191,66,124
4,198,38,53
4,175,40,141
5,28,83,86
5,199,119,142
5,194,121,140
5,185,42,143
5,191,66,124
5,191,141,42
5,197,64,126
5,178,109,96
5,16,133,127
5,163,50,110
5,191,135,125
5,199,106,54
5,177,62,128
5,198,108,52
5,183,80,67
5,190,120,70
5,174,123,137
5,73,65,82
5,194,107,98
5,136,71,74
5,164,104,56
5,199,140,121
5,191,48,113
5,192,122,68
5,176,94,111
5,192,53,38
5,185,36,55
5,198,38,53
5,145,142,119
5,52,84,87
5,194,69,77
5,154,45,48
5,180,113,47
5,190,105,100
5,193,52,108
5,195,143,44
5,181,98,107
5,196,114,117
5,197,126,64
5,195,68,122
5,193,54,106
5,199,55,36
5,176,44,145
5,200,77,69
5,138,100,103
5,167,145,46
5,200,124,66
5,180,96,109
5,195,67,79
5,107,129,132
6,135,110,50
6,154,45,48
6,12,72,74
6,194,121,140
6,170,75,71
6,107,129,132
6,199,140,121
6,190,105,100
6,197,126,64
6,193,52,108
6,200,124,66
6,191,135,125
6,163,50,110
6,195,67,79
6,185,42,143
6,121,67,80
6,194,69,77
6,191,66,124
6,195,68,122
6,192,122,68
6,174,123,137
6,175,40,141
6,192,53,38
6,112,115,118
6,185,36,55
6,177,62,128
6,28,83,86
6,180,96,109
6,138,100,103
6,167,145,46
6,176,44,145
6,199,55,36
6,193,54,106
6,196,114,117
6,195,143,44
6,181,98,107
6,189,125,135
6,180,113,47
6,178,109,96
6,191,141,42
6,199,119,142
6,197,64,126
6,183,80,67
6,191,48,113
6,198,108,52
6,194,107,98
6,200,77,69
6,190,120,70
6,164,104,56
6,198,38,53
6,199,106,54
7,197,126,64
7,170,75,71
7,195,68,122
7,181,98,107
7,200,77,69
7,189,125,135
7,194,121,140
7,196,114,117
7,180,113,47
7,164,104,56
7,198,108,52
7,185,42,143
7,192,122,68
7,176,44,145
7,136,71,74
7,138,100,103
7,180,96,109
7,28,83,86
7,190,120,70
7,194,69,77
7,199,119,142
7,163,50,110
7,112,115,118
7,178,109,96
7,174,123,137
7,183,80,67
7,200,124,66
7,191,48,113
7,121,67,80
7,73,65,82
7,185,36,55
7,107,129,132
7,191,135,125
7,3,91,93
7,194,107,98
7,193,54,106
7,197,64,126
7,198,38,53
7,199,106,54
7,192,53,38
7,191,66,124
7,191,141,42
7,175,40,141
7,199,140,121
7,195,143,44
7,154,45,48
7,145,142,119
7,177,62,128
7,190,105,100
7,167,145,46
7,193,52,108
7,16,133,127
7,199,55,36
8,193,54,106
8,176,94,111
8,199,140,121
8,136,71,74
8,196,114,117
8,194,121,140
8,191,135,125
8,185,36,55
8,192,122,68
8,192,53,38
8,199,55,36
8,180,96,109
8,167,145,46
8,145,142,119
8,177,62,128
8,199,119,142
8,178,109,96
8,191,141,42
8,183,80,67
8,199,106,54
8,198,38,53
8,190,120,70
8,197,64,126
8,164,104,56
8,176,44,145
8,191,48,113
8,200,77,69
8,194,107,98
8,138,100,103
8,9,85,88
8,195,68,122
8,189,125,135
8,194,69,77
8,135,110,50
8,175,40,141
8,163,50,110
8,193,52,108
8,181,98,107
8,52,84,87
8,191,66,124
8,180,113,47
8,197,126,64
8,185,42,143
8,198,108,52
8,154,45,48
8,200,124,66
8,107,129,132
8,195,67,79
8,195,143,44
8,190,105,100
9,198,38,53
9,175,40,141
9,190,120,70
9,195,68,122
9,200,124,66
9,174,123,137
9,193,52,108
9,180,113,47
9,178,109,96
9,191,141,42
9,199,119,142
9,190,105,100
9,177,62,128
9,145,142,119
9,197,126,64
9,167,145,46
9,189,125,135
9,199,106,54
9,176,44,145
9,164,104,56
9,73,65,82
9,136,71,74
9,192,122,68
9,185,42,143
9,191,135,125
9,193,54,106
9,1,90,92
9,180,96,109
9,176,94,111
9,191,66,124
9,170,75,71
9,196,114,117
9,195,67,79
9,194,121,140
9,199,140,121
9,200,77,69
9,185,36,55
9,197,64,126
9,195,143,44
9,194,69,77
9,199,55,36
9,154,45,48
9,163,50,110
9,107,129,132
9,191,48,113
9,11,88,91
9,192,53,38
10,193,54,106
10,196,114,117
10,199,55,36
10,180,96,109
10,195,143,44
10,176,44,145
10,154,45,48
10,177,62,128
10,197,126,64
10,189,125,135
10,121,67,80
10,193,52,108
10,195,67,79
10,195,68,122
10,200,124,66
10,107,129,132
10,194,69,77
10,191,66,124
10,174,123,137
10,73,65,82
10,136,71,74
10,191,135,125
10,176,94,111
10,199,140,121
10,170,75,71
10,194,121,140
10,185,36,55
10,200,77,69
10,191,48,113
10,197,64,126
10,190,120,70
10,183,80,67
10,191,141,42
10,112,115,118
10,199,119,142
10,167,145,46
10,181,98,107
10,192,122,68
10,138,100,103
10,185,42,143
10,178,109,96
10,194,107,98
10,180,113,47
10,164,104,56
10,199,106,54
10,175,40,141
10,190,105,100
10,198,38,53
10,198,108,52
11,198,108,52
11,192,122,68
11,167,145,46
11,195,68,122
11,196,114,117
11,154,45,48
11,190,120,70
11,195,67,79
11,199,140,121
11,199,106,54
11,189,125,135
11,180,113,47
11,197,126,64
11,191,141,42
11,185,42,143
11,199,55,36
11,176,94,111
11,170,75,71
11,180,96,109
11,191,48,113
11,193,52,108
11,176,44,145
11,136,71,74
11,190,105,100
11,185,36,55
11,177,62,128
11,11,88,91
11,199,119,142
11,193,54,106
11,178,109,96
11,73,65,82
11,200,77,69
11,183,80,67
11,175,40,141
11,107,129,132
