Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles
2,2,,8,8,10,0.174367,0.211217,0.000039,0,0.821429,23
3,3,,11,11,9,0.198193,0.238932,0.000346,0,0.709091,39
4,4,,13,13,9,0.207815,0.25802,0.001041,0,0.692308,54
5,5,,12,12,9,0.206349,0.254601,0.000879,0,0.69697,46
6,6,,13,13,9,0.209552,0.261391,0.00094,0,0.666667,52
173,173,,16,16,9,0.210938,0.268561,0.002283,0,0.583333,70
174,174,,17,17,9,0.209677,0.267707,0.002936,0,0.551471,75
175,175,,14,14,9,0.205383,0.253034,0.001493,0,0.626374,57
7,7,,14,14,8,0.218284,0.274868,0.001663,0,0.527473,48
172,172,,21,21,8,0.225434,0.295204,0.008193,0,0.447619,94
8,8,,16,16,8,0.221311,0.282702,0.004125,0,0.508333,61
9,9,,14,14,9,0.196089,0.257054,0.00175,0,0.604396,55
171,171,,19,19,9,0.202305,0.266963,0.001569,0,0.502924,86
151,151,,9,9,7,0.237483,0.279955,0.000986,0,0.638889,23
159,159,,18,18,8,0.24929,0.308364,0.024331,0,0.444444,68
10,10,,14,14,8,0.201956,0.260351,0.000668,0,0.615385,56
11,11,,10,10,8,0.202422,0.252574,0.000232,0,0.755556,34
12,12,,15,15,8,0.217742,0.280722,0.002533,0,0.552381,58
13,13,,17,17,8,0.222857,0.290937,0.004394,0,0.492647,67
161,161,,18,18,8,0.238613,0.305088,0.012843,0,0.418301,64
170,170,,18,18,9,0.204545,0.269066,0.001656,0,0.542484,83
14,14,,15,15,8,0.223995,0.289696,0.005887,0,0.504762,53
15,15,,11,11,7,0.224425,0.276313,0.001956,0,0.690909,38
169,169,,13,13,9,0.2,0.252589,0.000302,0,0.705128,55
16,16,,14,14,7,0.233844,0.290537,0.003174,0,0.571429,52
17,17,,23,23,7,0.250535,0.324773,0.009698,0,0.407115,103
148,148,,20,20,7,0.258088,0.325431,0.011139,0,0.484211,92
18,18,,17,17,7,0.231989,0.296072,0.002789,0,0.529412,72
132,132,,22,22,7,0.267123,0.340103,0.01345,0,0.437229,101
19,19,,15,15,7,0.243075,0.301316,0.001948,0,0.590476,62
20,20,,21,21,7,0.261745,0.32638,0.016448,0,0.447619,94
21,21,,20,20,7,0.241237,0.304687,0.008947,0,0.478947,91
147,147,,18,18,6,0.279904,0.338841,0.010233,0,0.51634,79
149,149,,15,15,7,0.248936,0.305915,0.006614,0,0.466667,49
22,22,,16,16,8,0.223709,0.282937,0.001373,0,0.558333,67
49,49,,14,14,8,0.223995,0.289374,0.001409,0,0.582418,53
50,50,,23,23,7,0.248408,0.326184,0.010991,0,0.41502,105
53,53,,20,20,8,0.226598,0.292766,0.003918,0,0.521053,99
23,23,,14,14,7,0.251793,0.302544,0.004928,0,0.549451,50
54,54,,22,22,8,0.225723,0.294095,0.004468,0,0.484848,112
24,24,,20,20,7,0.264706,0.32866,0.016333,0,0.410526,78
25,25,,16,16,8,0.229262,0.286952,0.002415,0,0.533333,64
